"Item","ModId","Name","Installed","As"
"A-0","98163","OStim Standalone","False",""
"A-0","63512","Toys and Love","False",""
"A-1","45148","Conditional Expressions","False",""
"A-1","38563","FK's Diverse Racial Skeletons","False",""
"F-1","50258","Animation Motion Revolution","True","Animation Motion Revolution"
"F-1","75167","AnimObject Swapper","True","AnimObject Swapper"
"F-1","60805","Base Object Swapper","True","Base Object Swapper"
"F-1","78146","Behavior Data Injector","True","Behavior Data Injector"
"F-1","33261","Bug Fixes SSE","True","Bug Fixes SSE"
"F-1","120152","Container Distribution Framework","True","Container Distribution Framework"
"F-1","52276","Crafting Recipe Distributor","True","Crafting Recipe Distributor"
"F-1","59818","Crash Logger SSE","True","CrashLogger"
"F-1","96273","Dynamic Activation Key","True","Dynamic Activation Key"
"F-1","87706","Dynamic Key Action Framework","False",""
"F-1","127918","Dynamic Magic Modification Framework","True","Dynamic Magic Modification Framework (DMMF) v1.1.0"
"F-1","29932","Flat World Map Framework","False",""
"F-1","74037","FormList Manipulator","True","FormList Manipulator - FLM"
"F-1","15109","Fuz Ro D-oh","True","Fuz Ro D'oh"
"F-1","53000","MCM Helper","True","MCM Helper"
"F-1","11669","Mfg Fix","True","MfgFix"
"F-1","52641","Navigator navmesh fixes","True","Navigator - Navmesh Fixes"
"F-1","81469","Object Categorization Framework","True","Object Categorization Framework"
"F-1","92109","Open Animation Replacer","True","Open Animation Replacer"
"F-1","22854","Papyrus Extender","True","Papyrus Extender"
"F-1","77779","Papyrus Tweaks NG","True","Papyrus Tweaks 4.1.1"
"F-1","127999","Perk Adjuster","True","Perk Adjuster"
"F-1","51073","powerofthree's Tweaks","True","powerofthree's Tweaks"
"F-1","78744","Precision Locational Damage","False",""
"F-1","77815","Sound Record Distributor","True","Sound Record Distributor"
"F-1","85968","Spell Extender","True","Spell Extender"
"F-1","78159","Universal Support","True","Behavior Data Injector Universal Support"
"F-2","41780","Custom Skills Framework","False",""
"F-3","54309","Auto Input Switch","False",""
"F-4","34549","Blade and Blunt","False",""
"F-4","100570","Dynamic Block Hit","False",""
"F-4","72347","Precision","True","Precision"
"F-4","110508","Stagger Effect Fix","False",""
"F-7","26686","Aetherius","False",""
"F-7","14910","Andromeda","False",""
"F-7","1315","Imperious","False",""
"F-7","33411","Mundus","True","Mundus - A Standing Stone Overhaul"
"F-7","90659","Stormcrown","False",""
"F-8","96876","Gourmet","False",""
"F-8","111890","NPCs Take Cover","False",""
"F-8","21061","Penitus Oculatus","False",""
"F-8","53143","Prelude to Purgatory","False",""
"F-8","2345","Realistic AI Detection","False",""
"F-8","132292","SkyParkour v3","False",""
"F-8","40102","Smart NPC Potions","False",""
"F-8","95196","Sorcerer","False",""
"F-8","40802","Undeath - Classical Lichdom","False",""
"F-8","56144","YASTM soul trap manager","False",""
"R-1","63969","Seasonal Alchemy","False",""
"R-1","63700","Seasonal Wildlife Distribution","False",""
"R-1","62861","Seasons of Skyrim SKSE","False",""
"R-1","63463","Shrubs of Snow","False",""
"R-1","63623","Turn of the Seasons","False",""
"R-2","21654","AI Overhaul SSE","True","AI Overhaul AE 1.9.5"
"R-2","42538","Fixed and Patched","False",""
"R-2","22075","Guard Dialogue Overhaul","True","Guard Dialogue Overhaul - ESL"
"R-2","52416","Improved","False",""
"R-2","70428","NPCs React To Necromancy","True","NPCs React To Necromancy"
"R-2","22374","Skyrim Reputation","False",""
"R-2","107492","To Frenzy","True","NPCs React To Frenzy"
"R-2","91480","To Invisibility","True","NPCs React To Invisibility"
"R-2","24720","To Your Face","False",""
