
-------------------------------------------------------------------------------
   ROBOCOPY     ::     Robust File Copy for Windows                              
-------------------------------------------------------------------------------

  Started : September 5, 2026 9:41:09 PM
   Source : C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\
     Dest : X:\SKYRIM\STOCK GAME\

    Files : *.*
	    
  Options : *.* /TEE /S /E /DCOPY:DA /COPY:DAT /J /NP /MT:8 /R:2 /W:2 

------------------------------------------------------------------------------

	    New File  		  391360	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\bink2w64.dll
	    New File  		      22	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Debug.log
	    New File  		     906	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\High.ini
	    New File  		     673	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\installscript.vdf
	    New File  		     898	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Low.ini
	    New File  		     898	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Medium.ini
	    New File  		    2035	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Skyrim.ccc
	    New File  		  36.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\SkyrimSE.exe
	    New File  		   4.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\SkyrimSELauncher.exe
	    New File  		    1859	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Skyrim_Default.ini
	    New File  		  298384	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\steam_api64.dll
	    New File  		     911	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Ultra.ini
	    New File  		   4.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccafdsse001-dwesanctuary.bsa
	    New File  		  523532	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccafdsse001-dwesanctuary.esm
	    New File  		 499.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccasvsse001-almsivi.bsa
	    New File  		  649485	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccasvsse001-almsivi.esm
	    New File  		 360.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse001-fish.bsa
	    New File  		   1.3 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse001-fish.esm
	    New File  		  66.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse002-exoticarrows.bsa
	    New File  		  182186	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse002-exoticarrows.esl
	    New File  		 107.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse003-zombies.bsa
	    New File  		  180899	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse003-zombies.esl
	    New File  		  38.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse004-ruinsedge.bsa
	    New File  		    7913	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse004-ruinsedge.esl
	    New File  		  10.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse005-goldbrand.bsa
